,index,Strict Extent,Relaxed Extent,Strict Type,Relaxed Type,,,
0,0,48.706,69.755,45.234,61.455,10.393,141.0,78.2
1,0,52.0238480308,72.3598000563,48.5240395134,64.2134707921,11.76,141.0,84.0
2,0,45.3881519692,67.1501999437,41.9439604866,58.6965292079,9.35,141.0,71.0
0,1,63.99150795622339,79.32434321748327,57.463107002071084,70.89519389199481,11.13546213487068,141.0,95.81665382639197
0,1,45.14182537710994,68.40899011585007,43.57022633126226,60.93813944133854,10.131204531795985,141.0,74.18334617360803
0,1,54.56666666666666,73.86666666666667,50.51666666666667,65.91666666666667,10.633333333333333,141.0,85.0
1,2,76.29117444218464,89.12137800813474,70.57131013781026,81.00963634359908,9.930195740364109,141.0,123.86085856498528
1,2,75.60882555781536,87.07195532519856,65.60868986218972,74.4103636564009,9.81647092630256,141.0,120.80580810168138
1,2,75.95,88.09666666666665,68.08999999999999,77.71,9.873333333333335,141.0,122.33333333333333
2,3,82.03996376704572,91.1783436212685,77.2621376069839,83.22796159396394,10.37,141.0,131.0
2,3,80.81336956628763,90.36832304539816,74.27119572634943,81.09870507270274,10.289999999999997,141.0,129.0
2,3,81.42666666666668,90.77333333333333,75.76666666666667,82.16333333333334,10.329999999999998,141.0,130.0
3,4,74.42299554181481,86.78465387708371,66.01241376731197,76.74093404014022,10.090417600901556,141.0,117.31668053245552
3,4,78.89666666666668,90.10333333333334,71.90333333333334,81.13000000000001,10.183333333333332,141.0,127.33333333333333
3,4,83.37033779151854,93.42201278958296,77.7942528993547,85.5190659598598,10.276249065765107,141.0,137.34998613421115
4,5,76.24333333333334,87.63,70.42,79.54333333333334,10.196666666666667,141.0,120.66666666666667
4,5,65.21641022063625,79.3853835747198,59.984047719541834,72.35222539829765,10.100576431297336,141.0,95.82047312855437
4,5,87.27025644603043,95.8746164252802,80.85595228045817,86.73444126836903,10.292756902035999,141.0,145.51286020477897
5,6,83.07000000000001,92.91666666666667,78.50666666666666,85.46666666666665,10.083333333333334,141.0,136.66666666666666
5,6,82.64432406692416,92.6780595977577,77.02166386083317,83.39793919951848,10.032017318938864,141.0,135.13914143501472
5,6,83.49567593307586,93.15527373557565,79.99166947250015,87.53539413381483,10.134649347727803,141.0,138.1941918983186
6,7,85.25439075719744,93.86202227481448,80.02752607769679,85.97439075719744,10.067320508075689,141.0,138.24401693585628
6,7,83.96666666666667,93.30333333333333,78.23,84.68666666666667,10.049999999999999,141.0,137.66666666666666
6,7,82.6789425761359,92.74464439185218,76.43247392230322,83.3989425761359,10.03267949192431,141.0,137.08931639747703
7,8,83.82320508075688,92.77516660498395,80.33016737611841,85.93782221948751,10.11976067743425,141.0,136.91068360252297
7,8,83.4767949192431,92.32483339501604,78.80316595721492,85.21551111384582,10.073572655899081,141.0,135.75598306414372
7,8,83.64999999999999,92.55,79.56666666666666,85.57666666666667,10.096666666666666,141.0,136.33333333333334
8,9,86.82576347816754,93.15605976895873,82.17249403738522,86.67920799729676,10.07732050807569,141.0,137.91068360252297
8,9,85.27,92.93666666666667,80.71666666666665,85.74666666666667,10.06,141.0,137.33333333333334
8,9,83.71423652183245,92.71727356437461,79.26083929594809,84.81412533603658,10.04267949192431,141.0,136.75598306414372
9,10,85.16666666666667,93.06333333333333,80.62333333333333,85.88333333333333,10.049999999999999,141.0,137.66666666666666
9,10,85.68957519913992,93.28272643562539,81.5971060652032,86.81587466396341,10.067320508075689,141.0,138.24401693585628
9,10,84.64375813419342,92.84394023104127,79.64956060146346,84.95079200270324,10.03267949192431,141.0,137.08931639747703
