STR_E, REL_E, STR_T, REL_T, STR_U, REL_U, F1_VAL, GOLD, SYS, ACC_VAL

#TE3 (1-5)
86.96,90.12,78.26,81.42,75.1,77.47,73.52,138,115,81.58
86.92,92.31,73.08,76.92,76.15,77.69,69.23,138,122,75.0
86.05,91.47,76.74,80.62,75.97,79.84,72.87,138,120,79.66
86.72,91.41,76.56,81.25,76.56,79.69,73.44,138,118,80.34
86.38,91.83,78.6,83.27,73.15,76.26,69.26,138,119,75.42

#Simplified (6-10)
85.33,88.0,79.11,80.89,73.78,73.78,70.22,125,100,79.8
84.35,90.43,78.26,84.35,72.17,75.65,72.17,125,105,79.81
85.96,89.47,76.32,78.95,75.44,78.07,67.54,125,103,75.49
84.35,90.43,76.52,81.74,75.65,80.0,75.65,125,105,83.65
85.71,91.77,74.46,79.65,77.06,79.65,71.0,125,106,77.36


FT(model10) - 5 fold
92.2,95.04,86.52,87.23,86.52,88.65,67.38,140,142,70.9
91.03,93.69,88.37,91.03,89.04,91.69,68.44,147,154,73.05
93.47,95.53,92.78,94.16,90.72,91.41,65.98,140,151,69.06
89.54,93.46,86.27,88.89,87.58,91.5,55.56,150,156,59.44
93.16,96.32,92.11,94.21,90.0,91.05,68.95,190,190,71.58

FT(model10) - different amount

54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
87.32,94.37,78.17,82.39,80.28,85.92,57.75,140,144,61.19
88.34,94.7,82.69,86.22,83.39,88.34,62.19,140,143,65.67
85.82,93.62,75.18,80.85,73.76,78.72,53.9,140,142,57.58
85.71,93.57,77.14,82.14,81.43,87.86,57.14,140,140,61.07
81.43,93.57,76.43,82.86,77.86,84.29,57.86,140,140,61.83
86.93,93.99,79.86,84.81,79.15,84.1,60.07,140,143,63.91
88.65,94.33,83.69,86.52,82.27,85.82,64.54,140,142,68.42
86.93,93.99,80.57,86.93,81.98,87.63,62.19,140,143,66.17
87.32,94.37,76.06,80.99,80.99,86.62,54.93,140,144,58.21
90.07,95.04,85.11,87.94,85.11,88.65,66.67,140,142,70.15
89.36,94.33,80.85,82.98,83.69,86.52,58.16,140,142,61.65
86.52,94.33,80.85,85.82,80.85,86.52,63.83,140,142,67.67
87.32,94.37,80.99,85.21,83.8,88.73,64.08,140,144,67.91
87.94,94.33,80.14,83.69,82.98,87.94,60.28,140,142,63.91
88.97,94.66,85.41,88.97,84.7,88.97,70.46,140,141,74.44
90.46,94.7,85.51,88.34,86.93,89.75,67.14,140,143,70.9
87.63,93.99,82.69,86.22,82.69,87.63,67.14,140,143,71.43
89.68,94.66,86.12,88.26,84.7,87.54,68.33,140,141,72.18
91.87,95.41,87.63,89.05,86.93,89.05,68.55,140,143,71.85
89.75,94.7,82.69,84.1,84.81,88.34,60.78,140,143,64.18
90.78,95.04,86.52,88.65,85.82,88.65,68.79,140,142,72.39
91.87,95.41,88.34,89.05,86.22,89.05,68.55,140,143,71.85
90.78,95.04,86.52,88.65,87.23,90.07,68.09,140,142,71.64
90.78,95.04,85.82,87.94,87.23,90.07,68.79,140,142,72.39
91.17,94.7,86.22,86.93,85.51,87.63,67.14,140,143,70.9
90.78,95.04,86.52,87.94,85.82,88.65,69.5,140,142,73.13
90.46,94.7,84.81,85.51,84.81,86.93,66.43,140,143,70.15
90.39,94.66,87.54,88.97,86.12,88.97,69.04,140,141,72.93
90.46,94.7,85.51,86.93,85.51,88.34,67.14,140,143,70.9
91.49,95.04,87.23,88.65,87.23,89.36,69.5,140,142,73.13


FT(model10) twitter different amount
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
57.72,82.93,52.85,73.98,44.72,67.48,47.15,140,106,56.86
54.01,79.32,48.1,68.35,44.73,64.98,44.73,140,97,56.38
71.15,86.17,63.24,74.31,54.55,67.19,44.27,140,113,51.38
63.88,91.25,47.15,69.96,41.83,65.4,31.18,140,123,34.17
63.81,87.94,57.59,73.93,50.58,71.6,46.69,140,117,53.1
70.87,87.4,63.78,76.38,47.24,60.63,38.58,140,114,44.14
79.56,94.16,78.1,87.59,64.96,76.64,49.64,140,134,52.71
81.48,92.59,76.3,82.96,63.7,72.59,45.19,140,130,48.8
77.66,94.51,73.99,88.64,54.21,66.67,36.63,140,133,38.76
80.59,93.04,79.12,87.18,63.74,73.26,46.89,140,133,50.39
76.19,93.77,71.79,87.18,54.95,71.06,40.29,140,133,42.97
85.51,94.2,81.16,86.96,70.29,76.81,55.07,140,136,58.46
74.73,93.77,73.26,89.38,54.95,71.79,41.03,140,133,43.75
84.59,94.62,82.44,90.32,66.67,74.55,47.31,140,139,50.0
77.66,94.51,73.26,87.91,60.81,74.73,43.96,140,133,46.51
79.85,93.77,74.73,85.71,60.81,71.79,41.03,140,133,43.75
84.89,94.96,84.17,91.37,66.19,73.38,46.04,140,138,48.48
71.32,93.38,68.38,88.24,55.15,75.74,47.79,140,132,51.18
85.0,95.0,82.86,89.29,66.43,74.29,46.43,140,140,48.87
84.06,93.48,78.26,85.51,64.49,70.29,42.03,140,136,44.96
84.78,94.2,84.06,90.58,64.49,71.01,42.75,140,136,45.38
85.2,94.58,83.03,88.81,64.26,70.04,43.32,140,137,45.8
85.09,93.82,84.36,90.91,65.45,72.73,42.18,140,135,44.96
84.67,93.43,83.21,89.78,66.42,72.26,45.99,140,134,49.22
83.45,94.24,82.73,90.65,63.31,70.5,44.6,140,138,47.33
84.78,94.2,84.06,90.58,65.94,71.74,47.1,140,136,50.0
87.05,94.96,84.89,90.65,68.35,73.38,50.36,140,138,53.03
87.05,94.96,84.89,91.37,66.19,71.22,44.6,140,138,46.97
85.09,93.82,78.55,85.09,67.64,74.18,47.27,140,135,50.39
85.51,94.2,84.78,90.58,66.67,73.91,47.1,140,136,50.0

FT(model10) snips different amount
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
54.3,72.4,45.25,56.11,44.34,57.01,48.87,140,81,67.5
70.59,85.49,58.04,66.67,66.67,76.86,47.06,140,115,55.05
74.71,85.6,66.93,73.15,66.93,73.15,56.03,140,117,65.45
68.53,83.67,54.98,64.54,59.76,70.12,43.82,140,111,52.38
75.0,86.72,70.31,80.47,65.62,73.44,59.38,140,116,68.47
68.0,85.6,62.4,75.2,60.0,72.0,54.4,140,110,63.55
72.94,85.49,64.31,72.94,68.24,76.08,51.76,140,115,60.55
77.39,88.12,75.1,80.46,71.26,78.16,63.6,140,121,72.17
69.84,84.13,65.87,74.6,64.29,72.22,56.35,140,112,66.98
76.45,87.26,74.9,81.85,70.27,77.22,64.09,140,119,73.45
73.73,85.49,72.16,80.78,68.24,76.86,62.75,140,115,73.39
74.02,85.04,72.44,80.31,67.72,76.38,65.35,140,114,76.85
69.05,84.92,66.67,79.37,63.49,75.4,59.52,140,112,70.09
77.1,88.55,74.05,80.92,68.7,76.34,62.6,140,122,70.69
72.66,85.94,70.31,79.69,65.62,75.0,61.72,140,116,71.82
76.34,88.55,73.28,80.92,67.94,75.57,59.54,140,122,67.24
76.15,87.69,73.85,81.54,69.23,76.92,63.08,140,120,71.93
78.63,89.31,75.57,82.44,69.47,77.1,61.07,140,122,68.38
72.37,86.38,70.04,78.6,65.37,74.71,59.92,140,117,69.37
76.26,86.38,73.15,80.16,67.7,74.71,63.81,140,117,73.87
77.22,87.26,74.9,81.08,71.04,77.22,62.55,140,119,71.68
74.62,87.69,72.31,80.77,68.46,76.92,63.85,140,120,72.81
75.29,85.49,71.37,78.43,65.88,72.94,60.39,140,115,70.64
